Concept,Sku,Shoot Date,Photographer,Stylist,Offline-CC,Comments,Status
HomeBox,6299182280612,21/02/2023,Pratik,Eva,CC,,Shot
HomeBox,6299182280650,21/02/2023,Pratik,Eva,CC,,Shot
HomeBox,6299182280599,21/02/2023,Pratik,Eva,CC,,Shot
HomeBox,6299182280643,21/02/2023,Pratik,Eva,CC,,Shot
HomeBox,6299182280629,21/02/2023,Pratik,Eva,CC,,Shot
HomeBox,6299182280636,21/02/2023,Pratik,Eva,CC,,Shot
HomeBox,6299145861636,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6291101402952,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6291101402891,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299145861667,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299145861650,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299145861643,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6291101402792,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,165353643,05/17/23,Pratik,Gene,CC,,Shot
HomeBox,165353642,05/17/23,Pratik,Gene,CC,,Shot
HomeBox,165353641,05/17/23,Pratik,Gene,CC,,Shot
HomeBox,165355917,05/17/23,Pratik,Gene,CC,,Shot
HomeBox,165355916,05/17/23,Pratik,Gene,CC,,Shot
HomeBox,165355915,05/17/23,Pratik,Gene,CC,,Shot
HomeBox,6299182755943,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299182755936,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299157494488,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183253141,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183253134,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183167455,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299157494464,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299145861674,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299145861698,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299145861681,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299145861704,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299157494440,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299157494372,05/17/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299151809172,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,165321903,05/16/23,Pratik,Gene,CC,,Shot
HomeBox,165321902,05/16/23,Pratik,Gene,CC,,Shot
HomeBox,165321901,05/16/23,Pratik,Gene,CC,,Shot
HomeBox,165478770,05/16/23,Pratik,Gene,CC,,Shot
HomeBox,165453044,05/16/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165339643,05/16/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,6299154660800,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660862,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660916,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660923,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660824,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660831,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660855,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660985,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660992,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299166794067,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660947,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660954,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660961,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299154660817,05/16/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,165477881,05/15/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165477880,05/15/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165543936,05/15/23,Pratik,Gene,CC,,Shot
HomeBox,6299184097577,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299184097560,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165339679,05/15/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,6299176017996,05/15/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,165535394,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165535393,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165339664,05/15/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165339547,05/15/23,Pratik,Gene,CC,,Shot
HomeBox,6299176018009,05/15/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299184097553,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183253059,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299176018016,05/15/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183253097,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183253066,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183253073,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183253080,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183253103,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299184097522,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299184097546,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299184097539,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183253110,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183253127,05/15/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299184004070,05/15/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,165339576,05/12/23,Sebak,Gene,CC,,Shot
HomeBox,165339663,05/12/23,Sebak,Gene,OFFLINE,,Shot
HomeBox,165339660,05/12/23,Sebak,Gene,OFFLINE,,Shot
HomeBox,165339659,05/12/23,Sebak,Gene,OFFLINE,,Shot
HomeBox,165339662,05/12/23,Sebak,Gene,OFFLINE,,Shot
HomeBox,165339661,05/12/23,Sebak,Gene,OFFLINE,,Shot
HomeBox,165339564,05/12/23,Sebak,Gene,OFFLINE,,Shot
HomeBox,165535406,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,5055390785216,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165535405,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183387600,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165535402,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165535404,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183387631,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183387655,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183387648,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183387594,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183387617,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183387624,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183387662,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182828104,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,6299182828098,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,6299182828081,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,162905886,05/11/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165595527,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,165595526,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,6299182828043,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,6299182828036,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,165535401,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182828074,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,6299182828067,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,6299182828050,05/11/23,Pratik,Gene,CC,,Shot
HomeBox,165535397,05/11/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,165535395,05/11/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,165535400,05/11/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165535399,05/11/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,165535396,05/11/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299172213033,05/10/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183048280,05/10/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183048273,05/10/23,Sebak,Jenifer C,CC,,Shot
HomeBox,883314865004,05/10/23,Sebak,Jenifer C,CC,,Shot
HomeBox,883314951073,05/10/23,Sebak,Jenifer C,CC,,Shot
HomeBox,156166008,05/10/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183985523,05/10/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183985516,05/10/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183048297,05/10/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183048266,05/10/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183985509,05/10/23,Sebak,Jenifer C,CC,,Shot
HomeBox,162788608,05/10/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165577242,05/10/23,Pratik,Gene,CC,,Shot
HomeBox,165577241,05/10/23,Pratik,Gene,CC,,Shot
HomeBox,165577240,05/10/23,Pratik,Gene,CC,,Shot
HomeBox,162641703,05/10/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162641702,05/10/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,6299183208752,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208639,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208622,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208646,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208769,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,165270312,05/09/23,Sebak,Gene,OFFLINE,,Shot
HomeBox,6299183208745,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208738,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208721,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208691,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208684,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208714,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299183208707,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,6299182579037,05/09/23,Sebak,Gene,CC,,Shot
HomeBox,162877594,05/08/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162877595,05/08/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165535395,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165339675,05/08/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162745085,05/08/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162745084,05/08/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165339606,05/08/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,161728907,05/08/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165535396,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183208653,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183208615,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183208677,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183208660,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165535399,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165535397,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183208608,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183208592,05/08/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165339666,05/08/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,6299182531851,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531844,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531837,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182688869,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165270306,05/05/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,6299182688883,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182688876,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531820,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531509,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531493,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6251882023166,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531769,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531790,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531783,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531776,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165270305,05/05/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165270301,05/05/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162745082,05/05/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162745080,05/05/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165270304,05/05/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165270303,05/05/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165270302,05/05/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,6299182688944,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182688906,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182688890,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182688920,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182688913,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182688937,05/05/23,Sebak,Jenifer C,CC,,Shot
HomeBox,8710619960856,05/04/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183662271,05/04/23,Sebak,Jenifer C,CC,,Shot
HomeBox,8710619960832,05/04/23,Sebak,Jenifer C,CC,,Shot
HomeBox,8710619960917,05/04/23,Sebak,Jenifer C,CC,,Shot
HomeBox,8710619960894,05/04/23,Sebak,Jenifer C,CC,,Shot
HomeBox,8710619960870,05/04/23,Sebak,Jenifer C,CC,,Shot
HomeBox,164820769,05/04/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162579271,05/04/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,164820768,05/04/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,6299181494249,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299181494225,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,164820770,05/04/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165577244,05/04/23,Pratik,Gene,CC,,Shot
HomeBox,6299183490980,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183490973,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,165270290,05/04/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165270311,05/04/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165577243,05/04/23,Pratik,Gene,CC,,Shot
HomeBox,6299183233549,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183233532,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183233525,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183233570,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183233563,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183233556,05/04/23,Sebak,Jenifer C,OFFLINE,,Shot
HomeBox,6299183287894,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183287900,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183287948,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183287887,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183287931,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183287955,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183287917,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183287924,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183287962,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165577236,05/03/23,Pratik,Gene,CC,,Shot
HomeBox,165577235,05/03/23,Pratik,Gene,CC,,Shot
HomeBox,6299183915056,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165577237,05/03/23,Pratik,Gene,CC,,Shot
HomeBox,165543933,05/03/23,Pratik,Gene,CC,,Shot
HomeBox,165543932,05/03/23,Pratik,Gene,CC,,Shot
HomeBox,165543935,05/03/23,Pratik,Gene,CC,,Shot
HomeBox,165543934,05/03/23,Pratik,Gene,CC,,Shot
HomeBox,6299183915094,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610975,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183915063,05/03/23,Sebak,Jenifer C,CC,,Shot
